カード名称,セゾンゴールド・アメリカン・エキスプレス・カード
お支払日,2026/02/04
今回ご請求額,0000224629

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
2025/11/30,ドコモご利用料金,,1回,,7628,
2025/12/01,モバイル保険,,1回,,700,
2025/12/01,Voicy,,1回,,980,
2025/12/02,Voicy,,1回,,990,
2025/12/03,エヌ・ハ-ベスト,1,1回,,876,
2025/12/08,東京ガス 1888-822-1050,1,1回,,7379,
2025/12/11,フレッシュバ-ド,1,1回,,1698,
2025/12/12,メルカリ -東京都 港区,1,1回,,333,
2025/12/12,メルカリ -東京都 港区,1,1回,,580,
2025/12/12,メルカリ -東京都 港区,1,1回,,589,
2025/12/14,DEEPL* SUB:2756208 CUS,,1回,,1200,
2025/12/15,メルカリ -東京都 港区,1,1回,,1800,
2025/12/15,つきみ野生鮮市場,,1回,,1306,
2025/12/20,ヨドバシ・ドット・コム,,1回,,3080,
2025/12/20,弥生株式会社,,1回,,12980,
2025/12/21,ZOOM.COM 888-799-9666,1,1回,,2484,
2025/12/22,Audible an Amazon Compan,,1回,,1500,
2025/12/23,パルシステム神奈川〔増資等〕,,1回,,800,
2025/12/23,パルシステム神奈川〔共済掛金〕,,1回,,9360,
2025/12/23,パルシステム神奈川〔電力〕,,1回,,11731,
2025/12/23,パルシステム神奈川〔宅配利用代金〕,,1回,,87352,
2025/12/24,NTT東日本ご利用料金,,1回,,7022,
2025/12/24,Netflix(同) -東京都 港区,,1回,,1190,
2025/12/25,Apple iTunes Store,,1回,,150,
2025/12/26,ヨドバシ・ドット・コム,,1回,,3080,
2025/12/27,アマゾン JP マーケットプレイス,1,1回,,2730,
2025/12/28,Apple iTunes Store,,1回,,150,
2025/12/30,アマゾン シーオージェーピー,,1回,,10000,
2025/12/31,アマゾン シーオージェーピー,,1回,,9727,
2025/12/31,メルカリ -東京都 港区,,1回,,800,
2026/01/01,まぐまぐ!,,1回,,880,
2026/01/01,東急電鉄定期券,,1回,,21130,
2026/01/01,アフラック,,1回,,3120,
2026/01/03,Apple iTunes Store,,1回,,1080,
2026/01/03,アマゾン シーオージェーピー,1,1回,,1442,
2026/01/05,アマゾン シーオージェーピー,1,1回,,1764,
2026/01/05,WEBLIO.CO.JP,1,1回,,330,
2026/01/07,アマゾン シーオージェーピー,1,1回,,870,
2026/01/08,OPENAI *CHATGPT SUBSCR,,1回,,3581,現地通貨額:22.00 USD
,(SAN FRANCISCO),,,,,円換算レート:1/08 162.7728
2026/01/10,Apple iTunes Store,,1回,,1200,
2026/01/10,Apple iTunes Store,,1回,,-92,
2026/01/10,Apple iTunes Store,,1回,,-871,
