カード名称,セゾンゴールド・アメリカン・エキスプレス・カード
お支払日,2026/03/04
今回ご請求額,0000259045

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
2025/12/31,ドコモご利用料金,,1回,,7598,
2026/01/01,モバイル保険,,1回,,700,
2026/01/02,Voicy,,1回,,990,
2026/01/05,Voicy,,1回,,980,
2026/01/10,東京ガス 1888-822-1050,1,1回,,9327,
2026/01/14,アマゾン JP マーケットプレイス,1,1回,,2095,
2026/01/14,DEEPL* SUB:2756208 CUS,,1回,,1200,
2026/01/14,神奈川県営水道上下水道料金,1,1回,,10755,
2026/01/15,NOTION LABS， INC.,,1回,,8730,現地通貨額:52.80 USD
,(SAN FRANCISCO),,,,,円換算レート:1/16 165.3409
2026/01/18,ブランド古着 買取販売 TRESOR,1,1回,,14949,
2026/01/20,アマゾン JP マーケットプレイス,1,1回,,643,
2026/01/20,ブランド古着 買取販売 TRESOR,1,1回,,5500,
2026/01/21,ZOOM.COM 888-799-9666,1,1回,,2484,
2026/01/22,Audible an Amazon Compan,,1回,,1500,
2026/01/23,RENTAL SPACE UPNOW,1,1回,,1320,
2026/01/23,RENTAL SPACE UPNOW,1,1回,,1320,
2026/01/24,NTT東日本ご利用料金,,1回,,7022,
2026/01/24,Netflix(同) -東京都 港区,,1回,,1190,
2026/01/25,アマゾン シーオージェーピー,1,1回,,1210,
2026/01/25,アマゾン JP マーケットプレイス,1,1回,,1330,
2026/01/25,アマゾン JP マーケットプレイス,1,1回,,1350,
2026/01/27,パルシステム神奈川〔増資等〕,,1回,,1000,
2026/01/27,パルシステム神奈川〔共済掛金〕,,1回,,9360,
2026/01/27,パルシステム神奈川〔電力〕,,1回,,11907,
2026/01/27,パルシステム神奈川〔宅配利用代金〕,,1回,,114950,
2026/01/29,OPENAI *CHATGPT SUBSCR,1,1回,,1400,
2026/01/31,民族楽器コイズミ,,1回,,8630,
2026/02/01,まぐまぐ!,,1回,,880,
2026/02/01,アフラック,,1回,,3120,
2026/02/02,アマゾン シーオージェーピー,1,1回,,2672,
2026/02/03,WEBLIO.CO.JP,1,1回,,330,
2026/02/04,アマゾン シーオージェーピー,,1回,,1230,
2026/02/05,FLUENTLY， INC.,1,1回,,4885,現地通貨額:29.99 USD
,(SAN JOSE),,,,,円換算レート:2/05 162.8877
2026/02/05,FLUENTLY， INC.,1,1回,,7329,現地通貨額:44.99 USD
,(SAN JOSE),,,,,円換算レート:2/05 162.9029
2026/02/06,アマゾン シーオージェーピー,,1回,,949,
2026/02/07,アマゾン JP マーケットプレイス,,1回,,538,
2026/02/07,アマゾン JP マーケットプレイス,,1回,,1682,
2026/02/08,アマゾン シーオージェーピー,1,1回,,1200,
2026/02/08,OPENAI *CHATGPT SUBSCR,,1回,,3590,現地通貨額:22.00 USD
,(SAN FRANCISCO),,,,,円換算レート:2/08 163.1819
2026/02/10,Apple iTunes Store,,1回,,1200,
